id,benutzer_id,asset_id,asset_typ,daten,geloescht_am
0b88b4f4-3fd1-4a7f-b8ef-75a5794269e6,8f150246-9f43-457b-b677-d28fcc92bc1e,12476652-4666-4fbe-bba4-ebc8658aa5d8,tagesgeldkonto,"[{""id"":""11857a1f-ea71-4b05-b6b4-2860dda64dfb"",""typ"":""einnahme"",""kurs"":null,""datum"":null,""betrag"":0,""notizen"":""Einzahlung bei Eröffnung"",""steuern"":0,""asset_id"":""12476652-4666-4fbe-bba4-ebc8658aa5d8"",""waehrung"":""EUR"",""gebuehren"":0,""intervall"":null,""assetklasse"":""tagesgeldkonto"",""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-09T11:58:51.777605+02:00"",""wechselkurs"":1,""gesamtbetrag"":null,""kategorie_id"":""d5473c35-2e52-41ef-82a2-3eef5aff038f"",""wiederkehrend"":null,""naechste_faelligkeit"":null}]",2026-08-09 12:12:20.803679+02
12b1dd93-e418-4398-931c-c006df56539d,8f150246-9f43-457b-b677-d28fcc92bc1e,9955f6de-0ca3-44df-adf3-cb6491939864,tagesgeldkonto,"[{""id"":""4e44770f-e8a2-4207-a27d-f07eb8e0aca7"",""typ"":""einnahme"",""kurs"":null,""datum"":null,""betrag"":0,""notizen"":""Einzahlung bei Eröffnung"",""steuern"":0,""asset_id"":""9955f6de-0ca3-44df-adf3-cb6491939864"",""waehrung"":""EUR"",""gebuehren"":0,""intervall"":null,""assetklasse"":""tagesgeldkonto"",""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-09T11:02:49.008228+02:00"",""wechselkurs"":1,""gesamtbetrag"":null,""kategorie_id"":""d5473c35-2e52-41ef-82a2-3eef5aff038f"",""wiederkehrend"":null,""naechste_faelligkeit"":null}]",2026-08-09 11:04:06.296136+02
2d1d2ab5-be56-4585-8cb0-39852a564e2a,8f150246-9f43-457b-b677-d28fcc92bc1e,dc9330a8-ae2b-49d6-b608-2fd3d300a092,tagesgeldkonto,"[{""id"":""042e4af9-758d-4faa-852a-582ca1191647"",""typ"":""einnahme"",""kurs"":null,""datum"":null,""betrag"":0,""notizen"":""Einzahlung bei Eröffnung"",""steuern"":0,""asset_id"":""dc9330a8-ae2b-49d6-b608-2fd3d300a092"",""waehrung"":""EUR"",""gebuehren"":0,""intervall"":null,""assetklasse"":""tagesgeldkonto"",""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-15T21:15:41.923187+02:00"",""wechselkurs"":1,""gesamtbetrag"":null,""kategorie_id"":""d5473c35-2e52-41ef-82a2-3eef5aff038f"",""wiederkehrend"":null,""naechste_faelligkeit"":null}]",2026-08-15 21:15:47.321705+02
498b70f6-9f25-493c-af99-2033b6e27c85,8f150246-9f43-457b-b677-d28fcc92bc1e,8d924921-fffc-428b-bc78-b6b41be0545c,festgeld,"[{""id"":""9c4a4107-2d3a-48fa-9c0f-73d2a923c166"",""typ"":""einnahme"",""kurs"":null,""datum"":null,""betrag"":50000,""notizen"":""Einzahlung bei Eröffnung"",""steuern"":0,""asset_id"":""8d924921-fffc-428b-bc78-b6b41be0545c"",""waehrung"":""EUR"",""gebuehren"":0,""intervall"":null,""assetklasse"":""festgeld"",""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-16T15:00:03.99817+02:00"",""wechselkurs"":1,""gesamtbetrag"":null,""kategorie_id"":""d5473c35-2e52-41ef-82a2-3eef5aff038f"",""wiederkehrend"":null,""naechste_faelligkeit"":null}]",2026-08-16 15:03:53.934188+02
77901c36-d0ac-4986-a321-ae58f96c234f,8f150246-9f43-457b-b677-d28fcc92bc1e,08e43c9c-8482-4e51-bb57-2805bc289ae8,festgeld,"[{""id"":""27cd42ab-9bf9-498f-bc8c-4e0a8982151f"",""typ"":""einnahme"",""kurs"":null,""datum"":null,""betrag"":0,""notizen"":""Einzahlung bei Eröffnung"",""steuern"":0,""asset_id"":""08e43c9c-8482-4e51-bb57-2805bc289ae8"",""waehrung"":""EUR"",""gebuehren"":0,""intervall"":null,""assetklasse"":""festgeld"",""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-16T14:55:19.11121+02:00"",""wechselkurs"":1,""gesamtbetrag"":null,""kategorie_id"":""d5473c35-2e52-41ef-82a2-3eef5aff038f"",""wiederkehrend"":null,""naechste_faelligkeit"":null}]",2026-08-16 14:58:05.47409+02
94e59e1b-9d48-4f28-84e1-14084ec332a9,8f150246-9f43-457b-b677-d28fcc92bc1e,d2986606-0365-4d28-9b17-e48356e952f2,tagesgeldkonto,"[{""id"":""337a5705-6b2b-4fe0-967b-8ef36ee85295"",""typ"":""einnahme"",""kurs"":null,""datum"":null,""betrag"":0,""notizen"":""Einzahlung bei Eröffnung"",""steuern"":0,""asset_id"":""d2986606-0365-4d28-9b17-e48356e952f2"",""waehrung"":""EUR"",""gebuehren"":0,""intervall"":null,""betrag_EUR"":null,""assetklasse"":""tagesgeldkonto"",""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-27T20:22:32.903896+02:00"",""wechselkurs"":1,""gesamtbetrag"":null,""kategorie_id"":""d5473c35-2e52-41ef-82a2-3eef5aff038f"",""wiederkehrend"":null,""ziel_waehrung"":""EUR"",""gebuehren_waehrung"":""EUR"",""naechste_faelligkeit"":null}]",2026-08-27 20:22:59.396539+02
a625d6d3-0915-4546-82ad-2a56078b716b,8f150246-9f43-457b-b677-d28fcc92bc1e,2b65be30-682b-4412-81fe-fb8886e4f41f,festgeld,"[{""id"":""bedda6d0-5beb-4843-8569-7510e88336bf"",""typ"":""einnahme"",""kurs"":null,""datum"":null,""betrag"":0,""notizen"":""Einzahlung bei Eröffnung"",""steuern"":0,""asset_id"":""2b65be30-682b-4412-81fe-fb8886e4f41f"",""waehrung"":""EUR"",""gebuehren"":0,""intervall"":null,""assetklasse"":""festgeld"",""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-16T11:31:12.135845+02:00"",""wechselkurs"":1,""gesamtbetrag"":null,""kategorie_id"":""d5473c35-2e52-41ef-82a2-3eef5aff038f"",""wiederkehrend"":null,""naechste_faelligkeit"":null}]",2026-08-16 14:36:19.550264+02
a6654d83-4407-44f0-911f-13e7fe1efadf,8f150246-9f43-457b-b677-d28fcc92bc1e,92491682-a69d-460e-b5ac-75f22bddcb05,festgeld,"[{""id"":""dbf30c86-71d4-49dd-b792-df057f0e2ea1"",""typ"":""einnahme"",""kurs"":null,""datum"":null,""betrag"":0,""notizen"":""Einzahlung bei Eröffnung"",""steuern"":0,""asset_id"":""92491682-a69d-460e-b5ac-75f22bddcb05"",""waehrung"":""EUR"",""gebuehren"":0,""intervall"":null,""assetklasse"":""festgeld"",""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-16T14:36:51.490572+02:00"",""wechselkurs"":1,""gesamtbetrag"":null,""kategorie_id"":""d5473c35-2e52-41ef-82a2-3eef5aff038f"",""wiederkehrend"":null,""naechste_faelligkeit"":null}]",2026-08-16 14:51:45.037814+02
d28bd9f9-e07b-4483-8de2-5dcf60d9401d,8f150246-9f43-457b-b677-d28fcc92bc1e,1db0c309-112c-4b5e-8924-1e51bcb96a89,festgeldkonto,"[{""id"":""c5920cf9-4217-4ece-9d8b-61d349e656c1"",""typ"":""einnahme"",""kurs"":null,""datum"":null,""betrag"":0,""notizen"":""Einzahlung bei Eröffnung"",""steuern"":0,""asset_id"":""1db0c309-112c-4b5e-8924-1e51bcb96a89"",""waehrung"":""EUR"",""gebuehren"":0,""intervall"":null,""assetklasse"":""festgeld"",""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-15T21:51:46.058532+02:00"",""wechselkurs"":1,""gesamtbetrag"":null,""kategorie_id"":""d5473c35-2e52-41ef-82a2-3eef5aff038f"",""wiederkehrend"":null,""naechste_faelligkeit"":null}]",2026-08-16 11:12:42.894509+02
d86e1253-c557-4bcf-9d58-384f12e4ac37,8f150246-9f43-457b-b677-d28fcc92bc1e,1db0c309-112c-4b5e-8924-1e51bcb96a89,festgeld,[],2026-08-16 11:14:31.987221+02
